town,address,land_area,object_num,building_area,n_bed,n_hall,n_bath,price,unitprice,main_area,aux_area,balcony_area,trans_num,year,month,dist_to四城,dist_to宜蘭,dist_to縣政中心,dist_to羅東,percent_aux,percent_balcony,n_story,n_material,n_urb_zoning,d_urban,d_elevator,completion_year,age,d_presale,d_comp,d_manager,d_spec_rel,d_presale_2,d_notreg,d_hotspring,d_leak,d_reno,closest_station,min_dist
礁溪鄉,宜蘭縣礁溪鄉礁溪路四段１４６巷７號,149.0,土地1建物1車位0,180.41,4,2,3,10000000.0,55429.0,180.41,0.0,0.0,,2021,12,4120,7756,13982,19537,0.0,0.0,3.0,enf_brick,res,1,0.0,,,0,1,0,0,0,0,0,1,0,四城,4120
宜蘭市,宜蘭縣宜蘭市宜科一路３１０巷３１號,136.38,土地1建物1車位0,233.89,4,2,5,21000000.0,89786.0,211.69,7.12,15.08,421.0,2021,12,6069,2232,3931,8878,3.04,6.45,3.0,rc,res,1,1.0,2014.0,7.0,0,1,0,0,0,0,0,0,0,宜蘭,2232
冬山鄉,宜蘭縣冬山鄉長春一路１１２巷２號,194.71,土地3建物1車位0,262.9,4,2,6,14350000.0,54583.0,241.63,0.0,21.27,422.0,2021,12,14659,10928,7518,4090,0.0,8.09,3.0,rc,,0,1.0,2016.0,5.0,0,1,0,0,0,0,0,0,0,羅東,4090
蘇澳鎮,宜蘭縣蘇澳鎮龍祥二路６巷２１號,64.9,土地1建物1車位0,152.86,4,2,3,7860000.0,51420.0,138.03,0.0,14.83,,2021,12,25013,22743,14994,9531,0.0,9.700000000000001,3.0,rc,,0,0.0,2020.0,1.0,0,1,0,0,0,0,0,0,0,羅東,9531
宜蘭市,宜蘭縣宜蘭市建業路６８巷３６弄１５號,202.61,土地1建物1車位0,210.43,4,2,3,18800000.0,89341.0,150.36,26.49,33.58,423.0,2021,11,9951,4471,2374,7812,12.590000000000002,15.959999999999999,2.0,rc,res,1,0.0,2011.0,10.0,0,1,0,0,0,0,0,0,0,縣政中心,2374
五結鄉,宜蘭縣五結鄉成興路１０３巷９號,87.56,土地3建物1車位0,168.31,4,2,5,7650000.0,45452.0,154.44,0.0,13.87,426.0,2021,11,20466,18196,14030,8568,0.0,8.24,3.0,rc,,0,0.0,2020.0,1.0,0,1,0,0,0,0,0,0,0,羅東,8568
員山鄉,宜蘭縣員山鄉惠深二路一段６６巷１１之１號,208.87,土地3建物1車位0,247.3,5,2,5,13000000.0,52568.0,231.95,0.0,15.35,427.0,2021,11,9130,5254,4944,9072,0.0,6.21,3.0,rc,,0,1.0,2015.0,6.0,0,1,0,0,0,0,0,0,0,縣政中心,4944
五結鄉,宜蘭縣五結鄉五結中路三段６３２號,143.93,土地1建物1車位0,32.19,0,0,0,6531000.0,202889.0,30.0,2.19,0.0,,2021,11,10270,6539,3129,3855,6.800000000000001,0.0,1.0,brick,res,1,0.0,,,0,0,0,0,0,0,0,0,0,縣政中心,3129
員山鄉,宜蘭縣員山鄉枕山路１０之３號,276.43,土地3建物1車位0,173.16,3,1,2,7605128.0,43920.0,173.16,0.0,0.0,,2021,11,6871,6409,11931,16377,0.0,0.0,2.0,enf_brick,,0,0.0,1984.0,37.0,0,1,0,0,0,0,0,0,0,宜蘭,6409
宜蘭市,宜蘭縣宜蘭市農權路三段１６３巷７２弄１６號,106.43,土地4建物1車位0,292.68,4,2,5,21000000.0,71751.0,292.68,0.0,0.0,,2021,11,5504,2803,5766,10832,0.0,0.0,5.0,rc,res,1,0.0,2015.0,6.0,0,1,0,0,0,0,0,0,0,宜蘭,2803
羅東鎮,宜蘭縣羅東鎮羅莊街２９５巷１０號,90.47,土地2建物1車位0,216.55,4,2,4,13800000.0,63727.0,194.92,0.0,6.58,,2021,11,16518,10810,7400,1398,0.0,3.04,4.0,rc,,0,0.0,1996.0,25.0,0,1,0,1,0,0,0,0,0,羅東,1398
冬山鄉,宜蘭縣冬山鄉梅花路５６７之６號,161.49,土地1建物1車位0,192.86,4,2,4,11500000.0,59629.0,174.29,0.0,18.57,,2021,11,17060,13330,9919,4402,0.0,9.629999999999999,3.0,rc,,0,0.0,2015.0,6.0,0,1,0,0,0,0,0,0,0,羅東,4402
蘇澳鎮,宜蘭縣蘇澳鎮冷泉路５３巷２６號,70.07,土地2建物1車位0,97.56,0,0,0,1200000.0,12300.0,97.56,0.0,0.0,,2021,11,26710,24440,20274,14052,0.0,0.0,2.0,enf_brick,env,1,0.0,1979.0,42.0,0,0,0,0,0,0,0,0,0,羅東,14052
冬山鄉,宜蘭縣冬山鄉龍祥三路６巷５２號,83.0,土地1建物1車位0,106.64,2,2,3,3700000.0,34696.0,106.64,0.0,0.0,433.0,2021,11,21038,18769,14603,9140,0.0,0.0,2.0,enf_brick,,0,0.0,1993.0,28.0,0,1,0,0,0,0,0,0,0,羅東,9140
