town,address,land_area,urb_zoning,nurb_zoning,nurb_land,date,object_num,story,material,completion_date,building_area,n_bed,n_hall,n_bath,d_comp,d_manager,price,unitprice,note,serialnumber,main_area,aux_area,balcony_area,d_elevator,trans_num,year,month,lat,lng
礁溪鄉,宜蘭縣礁溪鄉中山路一段１４２巷２號,99.07,商,,,1090416,土地3建物1車位0,一層,磚造,,44.81,0,0,0,無,無,2200000.0,49096.0,親友、員工或其他特殊關係間之交易。；房屋年久失修.,RPTNMLRLNHPFFBG56CA,44.81,0.0,0.0,,,2020,4,24.818678,121.770065
壯圍鄉,宜蘭縣壯圍鄉壯濱路二段４９巷１９號,117.93,,鄉村區,乙種建築用地,1071214,土地1建物1車位0,三層,鋼筋混凝土造,1090316.0,171.19,4,2,3,有,無,8250000.0,48192.0,,RPRRMLSLNHPFFBG86CA,155.51,0.0,15.68,,,2018,12,24.7350505,121.8177849
五結鄉,宜蘭縣五結鄉國民南路１０之１號,155.31,,特定農業區,甲種建築用地,1090421,土地4建物1車位0,三層,見其他登記事項,1080903.0,226.7,4,2,5,有,無,14880000.0,65637.0,,RPSNMLOLOHPFFAG78CA,217.31,0.0,9.39,,,2020,4,24.6864963,121.7901941
羅東鎮,宜蘭縣羅東鎮維揚路182號,115.0,住,,,1090414,土地1建物1車位0,三層,鋼筋混凝土造,700915.0,239.91,4,1,3,有,無,16000000.0,66692.0,,RPPPMLQKOHPFFAG78CA,239.91,0.0,0.0,,,2020,4,24.6721026,121.7580806
三星鄉,宜蘭縣三星鄉上將路一段263巷22號,133.18,,特定農業區,甲種建築用地,1090426,土地2建物1車位0,三層,見其他登記事項,1070824.0,208.63,4,2,4,有,無,8880000.0,42563.0,含不動產役權,RPQNMLNJOHPFFAG28CA,185.91,0.0,22.72,,,2020,4,24.701164,121.7446659
五結鄉,宜蘭縣五結鄉大吉三路218巷18號,87.26,,鄉村區,乙種建築用地,1090214,土地1建物1車位0,二層,鋼筋混凝土加強磚造,690516.0,86.98,4,2,2,有,無,6500000.0,74730.0,含增建或未登記建物。；權利人共二人,RPUNMLLJOHPFFAG48CA,86.98,0.0,0.0,,,2020,2,24.6948669,121.8009298
羅東鎮,宜蘭縣羅東鎮中華路２６０巷９號,110.0,住,,,1090501,土地2建物1車位0,三層,鋼筋混凝土造,1000919.0,219.5,4,3,4,有,無,13100000.0,59681.0,,RPQOMLQLNHPFFAG78CA,200.34,0.0,19.16,,,2020,5,24.6865157,121.7700124
宜蘭市,宜蘭縣宜蘭市舊城南路４巷２７號,76.5,商,,,1090427,土地2建物1車位0,三層,鋼筋混凝土加強磚造,710521.0,100.23,4,2,3,有,無,8200000.0,81812.0,頂樓有增建鐵皮屋,RPTNMLOKPHPFFBG98CA,100.23,0.0,0.0,,,2020,4,24.7551028,121.7540625
宜蘭市,宜蘭縣宜蘭市校舍路83號,134.77,住,,,1090409,土地1建物1車位0,三層,鋼筋混凝土造,790402.0,237.77,4,2,4,有,無,23000000.0,96732.0,1、2、3、4樓有加建,RPTOMLNKOHPFFBG88CA,226.29,11.48,0.0,,,2020,4,24.7510538,121.7612969
宜蘭市,宜蘭縣宜蘭市中山路三段２７６號,127.76,住,,,1090415,土地2建物1車位0,一層,木造,,59.84,3,1,1,有,無,6300000.0,105281.0,親友、員工或其他特殊關係間之交易。；買受人共三人,RPPPMLPJOHPFFBG68CA,59.84,0.0,0.0,,,2020,4,24.7619966,121.754013
