town,address,land_area,urb_zoning,nurb_zoning,nurb_land,date,object_num,story,material,completion_date,building_area,n_bed,n_hall,n_bath,d_comp,d_manager,price,unitprice,note,serialnumber,main_area,aux_area,balcony_area,d_elevator,trans_num,year,month
"五結鄉","宜蘭縣五結鄉孝威路３３３巷９號",107.93,"","鄉村區","乙種建築用地",1111202,"土地3建物1車位0","三層","鋼筋混凝土造","1050829",182.43,"4","3","3","有","無",9000000,49334,"","RPQOMLOKKIHGFAG67DA",169.09,0,13.34,"無","",2022,12
"宜蘭市","宜蘭縣宜蘭市女中路三段５８１號",87.62,"住","","",1111201,"土地1建物1車位0","四層","鋼筋混凝土造","0880127",257.08,"5","3","4","有","無",15800000,61459,"其他增建:1-3樓後方其他增建；","RPQRMLOKKIHGFBG08DA",216,13.99,27.09,"無","",2022,12
"冬山鄉","宜蘭縣冬山鄉永興路二段９１巷１弄５２之１２號",145.54,"","特定農業區","甲種建築用地",1111206,"土地3建物1車位0","三層","鋼筋混凝土造","1050627",176.94,"4","2","5","有","無",11000000,62168,"","RPUOMLPKKIHGFAG18DA",162.12,0,14.82,"無","0128",2022,12
"三星鄉","宜蘭縣三星鄉大坑三路８８號",143.5,"","特定農業區","甲種建築用地",1111203,"土地1建物1車位0","三層","鋼筋混凝土造","0810730",159.27,"4","2","3","有","無",6900000,43323,"其他增建；","RPVOMLPKKIHGFAG28DA",159.27,0,0,"無","0129",2022,12
"三星鄉","宜蘭縣三星鄉上將路一段３３巷３８弄２５號",70.65,"","特定農業區","甲種建築用地",1111201,"土地5建物1車位0","三層","鋼筋混凝土造","1110805",162.28,"3","2","4","有","無",9150000,56384,"","RPUOMLKLKIHGFAG87EA",146.73,0,15.55,"無","0135",2022,12
"五結鄉","宜蘭縣五結鄉隆昌路５６號",89.11,"住","","",1111212,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0630404",85.32,"3","1","1","有","無",3300000,38678,"親屬間之交易母女親友、員工、共有人或其他特殊關係間之交易；","RPUNMLQLKIHGFAG38EA",85.32,0,0,"無","",2022,12
"冬山鄉","宜蘭縣冬山鄉冬山路三段３０１巷５１弄２號",85.94,"","特定農業區","甲種建築用地",1111207,"土地3建物1車位0","四層","鋼筋混凝土造","1051207",279.11,"6","2","7","有","無",15200000,54459,"溫泉宅，附設露天湯池2座","RPWNMLQLKIHGFAG58EA",245.83,2.35,24.87,"有","",2022,12
"蘇澳鎮","宜蘭縣蘇澳鎮頂興路１５６號",73.07,"","工業區","丁種建築用地",1111205,"土地1建物1車位0","三層","鋼筋混凝土造","1030303",166.48,"4","2","3","有","無",7300000,43849,"","RPUOMLMLKIHGFAG97DA",144.25,0,22.23,"無","0143",2022,12
"壯圍鄉","宜蘭縣壯圍鄉新社路６８之３號",117,"","一般農業區","甲種建築用地",1111205,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0830217",157.41,"4","2","2","有","無",5900000,37482,"含土地增值稅或其他稅費96256元；含地政士服務費7000元；","RPRPMLRLKIHGFBG48EA",133.14,14.9,9.37,"無","",2022,12
"員山鄉","宜蘭縣員山鄉文化路１００巷５８號",108,"住","","",1111205,"土地2建物1車位0","三層","鋼筋混凝土造","1111103",200.95,"4","1","5","有","無",12240000,60911,"預售屋、或土地及建物分件登記案件；","RPQNMLRLKIHGFBG08DA",188.65,0,12.3,"無","",2022,12
"員山鄉","宜蘭縣員山鄉文化路１００巷６２弄６號",106.79,"住","","",1111206,"土地2建物1車位0","三層","鋼筋混凝土造","1111103",203.34,"4","1","5","有","無",11830000,58178,"預售屋、或土地及建物分件登記案件；","RPPOMLRLKIHGFBG08DA",189.9,0,13.44,"無","",2022,12
"員山鄉","宜蘭縣員山鄉文化路１００巷５６號",104.68,"住","","",1111206,"土地2建物1車位0","三層","鋼筋混凝土造","1111103",209.51,"4","1","5","有","無",11700000,55845,"預售屋、或土地及建物分件登記案件；","RPXOMLRLKIHGFBG88DA",199.67,0,9.84,"無","",2022,12
"冬山鄉","宜蘭縣冬山鄉寶和路１７６巷８號",92.75,"","特定農業區","甲種建築用地",1111206,"土地2建物1車位0","三層","鋼筋混凝土造","1040709",173.34,"4","2","4","有","無",6500000,37499,"","RPTPMLLLKIHGFAG87DA",158.73,0,14.61,"無","0148",2022,12
"冬山鄉","宜蘭縣冬山鄉鹿安路宏泰巷５８號；鹿安路宏泰巷６０號；鹿安路宏泰巷６２號",656.42,"住","","",1111201,"土地2建物2車位0","二層","鋼筋混凝土加強磚造","0711030",641.4,"10","5","5","有","無",16900000,26349,"頂樓加蓋；未登記建物；未登記建物；","RPVNMLQLKIHGFAG38DA",641.4,0,0,"無","",2022,12
"冬山鄉","宜蘭縣冬山鄉清溝路３３３巷８號",87.47,"農","","",1111201,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0710226",85.58,"2","1","1","有","無",3100000,36223,"頂樓加蓋；未登記建物；","SPVNMLQLKIHGFAG48DA",85.58,0,0,"無","0149",2022,12
"冬山鄉","宜蘭縣冬山鄉永興路二段９１巷１弄５０之１６號",144.24,"","特定農業區","甲種建築用地",1111218,"土地4建物1車位0","三層","鋼筋混凝土造","1050627",177.06,"4","2","4","有","無",13000000,73421,"","RPSNMLRLKIHGFAG18DA",165.21,0,11.85,"無","0152",2022,12
"礁溪鄉","宜蘭縣礁溪鄉踏踏三路６８巷５號",106.39,"","特定農業區","甲種建築用地",1111204,"土地3建物1車位0","三層","鋼筋混凝土造","1020905",167.54,"4","2","3","有","無",10500000,62672,"增建:一樓前後陽台，2.3樓前面陽台。其他增建；","RPVNMLTLKIHGFBG78DA",150.86,2.36,14.32,"無","0154",2022,12
"壯圍鄉","宜蘭縣壯圍鄉大福路三段９６巷８號",145.85,"","特定農業區","甲種建築用地",1111204,"土地4建物1車位0","三層","鋼筋混凝土造","1041023",243.45,"4","2","4","有","無",13000000,53399,"壹樓空地其他增建；","RPQOMLTLKIHGFBG38DA",226.5,0,16.95,"有","0155",2022,12
"宜蘭市","宜蘭縣宜蘭市力行路２２號",81.05,"住","","",1111207,"土地1建物1車位0","二層","鋼筋混凝土造","0680608",100.82,"2","2","2","有","無",8400000,83317,"其他增建；","RPOOMLTJKIHGFBG97DA",100.82,0,0,"無","0158",2022,12
"冬山鄉","宜蘭縣冬山鄉中正路４２號",111.63,"住","","",1111203,"土地2建物1車位0","二層","鋼筋混凝土加強磚造","0510700",74.57,"4","2","1","有","無",5150000,69063,"出售人出售他人，共有人主張優先購買權。親友、員工、共有人或其他特殊關係間之交易；","RPQPMLSLKIHGFAG28DA",74.57,0,0,"無","",2022,12
"羅東鎮","宜蘭縣羅東鎮復興路三段１７７巷１７號",52.01,"","鄉村區","乙種建築用地",1111203,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0660401",83.92,"2","2","2","有","無",3950000,47069,"增建:壹樓空地、頂樓其他增建；","RPOOMLRLKIHGFAG87DA",83.92,0,0,"無","",2022,12
"羅東鎮","宜蘭縣羅東鎮復興路三段１３５巷７號",108.04,"","特定農業區","甲種建築用地",1111203,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0750904",112.04,"4","2","2","有","無",7600000,67833,"壹樓空地增建陽台外推；其他增建；","RPVNMLKMKIHGFAG87DA",112.04,0,0,"無","0164",2022,12
"宜蘭市","宜蘭縣宜蘭市神農路一段５３號",92.04,"住","","",1111221,"土地1建物1車位0","四層","鋼筋混凝土造","0790411",292.52,"13","1","14","有","無",30000000,102557,"其他增建 ：一樓空地頂樓加蓋；夾層；其他增建；含租約；","RPUPMLKMKIHGFBG08DA",252.69,14.96,24.87,"無","",2022,12
"蘇澳鎮","宜蘭縣蘇澳鎮蘇濱路三段１３１號",100.09,"","工業區","丁種建築用地",1111209,"土地1建物1車位0","一層","鋼筋混凝土造","0720701",70.11,"2","2","2","有","無",4000000,57053,"二樓增建其他增建；","RPVOMLRLKIHGFAG58DA",70.11,0,0,"無","",2022,12
"宜蘭市","宜蘭縣宜蘭市中山路一段６６０巷１７號",123.74,"都市：其他:工商綜合區(一)","","",1111217,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0780417",127.72,"5","2","2","有","無",13000000,101785,"一樓空地，陽台增建陽台外推；其他增建；","RPTOMLRLKIHGFBG48DA",110.46,4.39,12.87,"無","",2022,12
"宜蘭市","宜蘭縣宜蘭市擺厘路１１之２１號",229.79,"住","","",1111212,"土地2建物1車位0","二層","鋼筋混凝土加強磚造","0680918",141.06,"3","2","3","有","無",15100000,107047,"頂樓加蓋；","RPQOMLNJJHIGFBG47DA",141.06,0,0,"無","",2022,12
"羅東鎮","宜蘭縣羅東鎮民治街３９號",76,"住","","",1111215,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0650106",84.23,"4","2","3","有","無",6200000,73608,"增建，約26坪。1樓空地；頂樓頂樓加蓋；其他增建；","RPTOMLTKKIHGFAG48DA",84.23,0,0,"無","",2022,12
"羅東鎮","宜蘭縣羅東鎮忠孝路１３１號",166,"住","","",1111202,"土地1建物1車位0","二層","鋼筋混凝土造","0580509",152.09,"3","2","2","有","無",16060000,105595,"","RPRNMLQJKIHGFAG77DA",152.09,0,0,"無","",2022,12
"冬山鄉","宜蘭縣冬山鄉溪心一路１８５巷１６弄１７號",94.31,"","特定農業區","甲種建築用地",1111213,"土地2建物1車位0","三層","鋼筋混凝土造","0980121",163.83,"4","2","3","有","無",8500000,51883,"","RPRNMLOJJHIGFAG47DA",144.66,2.64,16.53,"無","",2022,12
"羅東鎮","宜蘭縣羅東鎮竹林街４０５巷２９號",77.02,"","鄉村區","乙種建築用地",1111212,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0701223",104.62,"4","3","3","有","無",12500000,119480,"增建1樓空地。陽台外推；頂樓加蓋；其他增建；","RPSNMLQJJHIGFAG77DA",104.62,0,0,"無","0182",2022,12
"礁溪鄉","宜蘭縣礁溪鄉玉民路二段３０１巷２５號",89.85,"農","","",1111206,"土地1建物1車位0","三層","鋼筋混凝土造","1101108",200.62,"3","2","4","有","無",16800000,83740,"","RPXOMLQJJHIGFBG58EA",178.15,0,22.47,"有","",2022,12
"宜蘭市","宜蘭縣宜蘭市康樂路３３號",31.24,"商","","",1111214,"土地3建物1車位0","一層","木造","",24.68,"0","0","0","無","無",2000000,81037,"另有土地增值稅31713元由買受人負擔瑕疵物件；","RPXNMLQJJHIGFBG48EA",24.68,0,0,"無","",2022,12
"礁溪鄉","宜蘭縣礁溪鄉玉民路二段３０１巷３２號",89.85,"農","","",1111220,"土地1建物1車位0","三層","鋼筋混凝土造","1101108",200.62,"3","2","4","有","無",13880000,69186,"","RPOPMLQJJHIGFBG77EA",178.15,0,22.47,"有","",2022,12
"宜蘭市","宜蘭縣宜蘭市樹人路３３號",85.6,"住","","",1111216,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","",84.5,"5","2","3","有","無",11500000,136095,"增建:一樓空地，防火巷，上下樓層內梯，一樓增建沿著加蓋，鐵鋁窗增建，鐵皮屋頂增建。頂樓加蓋；其他增建；","RPTNMLRJJHIGFBG08DA",84.5,0,0,"無","0188",2022,12
"礁溪鄉","宜蘭縣礁溪鄉塭底路３０之４號",77,"","一般農業區","甲種建築用地",1111219,"土地2建物1車位0","二層","鋼筋混凝土加強磚造","0690108",112.5,"0","0","0","無","無",3900000,34667,"","RPROMLPJJHIGFBG77DA",112.5,0,0,"無","0189",2022,12
"冬山鄉","宜蘭縣冬山鄉鹿安路４０３巷７號",122.53,"住","","",1111214,"土地3建物1車位0","四層","鋼筋混凝土造","1100927",189.71,"3","2","4","有","無",14500000,76432,"","RPPNMLPJJHIGFAG37DA",177.81,0,11.9,"無","",2022,12
"五結鄉","宜蘭縣五結鄉中興路三段２５６巷６之２６號",82.47,"住","","",1111218,"土地1建物1車位0","四層","鋼筋混凝土造","0820810",241.78,"4","2","3","有","無",6200000,25643,"","RPWNMLOJJHIGFAG97DA",196.16,45.62,0,"無","",2022,12
"羅東鎮","宜蘭縣羅東鎮復興路三段３８８巷４７弄３０號",128.9,"","特定農業區","甲種建築用地",1111215,"土地6建物1車位0","三層","鋼筋混凝土造","1070314",210.73,"4","2","5","有","無",15300000,72605,"一樓後陽台增建雨遮其他增建；","RPROMLSLKIHGFAG28DA",197.13,0,13.6,"無","0192",2022,12
"員山鄉","宜蘭縣員山鄉大鬮路４５之２號",2218.12,"","特定農業區","農牧用地",1111203,"土地2建物1車位0","一層","加強磚造","0680821",65.66,"0","0","0","無","無",15500000,236065,"","RPUPMLQLKIHGFBG58DA",65.66,0,0,"無","",2022,12
"宜蘭市","宜蘭縣宜蘭市大福路一段１３７號",114,"","鄉村區","乙種建築用地",1111206,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0690110",134.2,"4","2","2","有","無",8900000,66319,"二等親之間的買賣含土地增值稅或其他稅費50237元；親友、員工、共有人或其他特殊關係間之交易；","RPVNMLRJJHIGFBG28DA",134.2,0,0,"無","0194",2022,12
"冬山鄉","宜蘭縣冬山鄉冬山路三段３０１巷５１弄２８號",134.03,"","特定農業區","甲種建築用地",1111217,"土地3建物1車位0","四層","鋼筋混凝土造","1051207",348.46,"6","2","7","有","有",19410000,55702,"溫泉宅，附設露天湯池2座","RPXNMLRJJHIGFAG48EA",316.35,1.23,24.82,"有","",2022,12
"蘇澳鎮","宜蘭縣蘇澳鎮光榮路７８號",173.09,"住","","",1111226,"土地1建物1車位0","三層","鋼筋混凝土造","1110316",358.77,"5","3","5","有","無",20000000,55746,"親友、員工、共有人或其他特殊關係間之交易；","RPWOMLKKJHIGFAG87EA",331.79,0,26.98,"無","",2022,12
"員山鄉","宜蘭縣員山鄉永同路三段８０巷４５號",209.54,"","一般農業區","甲種建築用地",1111204,"土地2建物1車位0","二層","鋼筋混凝土加強磚造","0710227",113.1,"3","2","2","有","無",4816000,42582,"","RPQOMLKKJHIGFBG27DA",113.1,0,0,"無","",2022,12
"羅東鎮","宜蘭縣羅東鎮中華路６５號",107,"住","","",1111228,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","",118.98,"5","2","2","有","無",17500000,147084,"","RPRNMLKKJHIGFAG17DA",118.98,0,0,"無","",2022,12
"三星鄉","宜蘭縣三星鄉三星路四段３７６號",398.76,"住","","",1111215,"土地2建物1車位0","二層","鋼筋混凝土加強磚造","0790827",155.74,"6","4","4","有","無",5000000,32105,"母子親友、員工、共有人或其他特殊關係間之交易；","RPTNMLKKJHIGFAG37DA",155.74,0,0,"無","",2022,12
"羅東鎮","宜蘭縣羅東鎮陽明路１６０巷１３號",70,"住","","",1111217,"土地1建物1車位0","三層","鋼筋混凝土造","0840920",185.09,"5","2","4","有","無",13700000,74018,"其他增建：一樓空地、2~3樓後方增建頂樓加蓋；其他增建；","RPUNMLNJJHIGFAG67DA",139.46,45.63,0,"無","",2022,12
"羅東鎮","宜蘭縣羅東鎮培英路７巷６５號",248,"住","","",1111202,"土地2建物1車位0","二層","鋼筋混凝土加強磚造","0701230",120.2,"5","2","3","有","無",18000000,149750,"含土地增值稅或其他稅費1590665元；其他；未登記建物；","RPTOMLTJJHIGFAG28DA",120.2,0,0,"無","",2022,12
"礁溪鄉","宜蘭縣礁溪鄉十六結路９３之２１號",136,"","鄉村區","乙種建築用地",1111211,"土地3建物1車位0","三層","鋼筋混凝土造","1020723",218.29,"3","2","3","有","無",10680000,48926,"","RPPNMLKKJHIGFBG07DA",204.11,0,14.18,"無","0207",2022,12
"礁溪鄉","宜蘭縣礁溪鄉玉民路二段３０１巷２８號",89.85,"農","","",1111227,"土地1建物1車位0","三層","鋼筋混凝土造","1101108",200.62,"3","2","4","有","無",16880000,84139,"","RPVNMLMKJHIGFBG97EA",178.15,0,22.47,"有","",2022,12
"冬山鄉","宜蘭縣冬山鄉冬山路三段１８１巷２３６弄１９號",108.92,"","特定農業區","甲種建築用地",1111227,"土地1建物1車位0","三層","鋼筋混凝土（ＲＣ）","1111216",211.19,"4","2","5","有","無",13650000,64634,"","RPUNMLMKJHIGFAG67DA",193.14,0,18.05,"無","",2022,12
"冬山鄉","宜蘭縣冬山鄉冬山路三段１８１巷２３８弄１８號",106.68,"","特定農業區","甲種建築用地",1111227,"土地1建物1車位0","三層","鋼筋混凝土造","1111216",187.81,"4","2","5","有","無",13600000,72414,"","RPPPMLLKJHIGFAG27DA",171.36,0,16.45,"無","",2022,12
"五結鄉","宜蘭縣五結鄉自強東路１７２號",87,"住","","",1111216,"土地1建物1車位0","二層","加強磚造","0691106",115.08,"4","2","3","有","無",5950000,51703,"其他增建:二樓陽台頂樓加蓋；其他增建；","RPPQMLMKJHIGFAG47DA",115.08,0,0,"無","0211",2022,12
"蘇澳鎮","宜蘭縣蘇澳鎮蘇港路３６７巷４弄３之１號",77.54,"住","","",1111221,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0670503",98.89,"4","2","2","有","無",3500000,35393,"1-2樓增建約13坪其他增建；","RPQNMLQLKIHGFAG87DA",98.89,0,0,"無","",2022,12
"羅東鎮","宜蘭縣羅東鎮維揚路１８３號",101,"住","","",1111208,"土地1建物1車位0","三層","鋼筋混凝土造","0770104",189.56,"4","2","3","有","無",4877000,25728,"1.父子間因自用住宅稅率買賣案2.總價含無償免除買賣價金給付應課微贈與稅親友、員工、共有人或其他特殊關係間之交易；","RPQOMLNKJHIGFAG47DA",185.75,3.81,0,"無","",2022,12
"員山鄉","宜蘭縣員山鄉永同路三段２２４巷２弄６號",93.8,"住","","",1111218,"土地2建物1車位0","四層","鋼筋混凝土造","0840418",213.43,"4","2","3","有","無",6460000,30268,"其他增建：壹樓空地、一樓採光罩、鐵鋁窗增建。頂樓加蓋；其他增建；","RPROMLTKKIHGFBG38DA",206.83,2.2,4.4,"無","",2022,12
"員山鄉","宜蘭縣員山鄉金泰路３５２號",78.39,"住","","",1111206,"土地3建物1車位0","四層","鋼筋混凝土造","0801007",201.68,"4","2","3","有","無",8000000,39667,"","RPUOMLQJKIHGFBG28DA",181.28,0,20.4,"有","0218",2022,12
"羅東鎮","宜蘭縣羅東鎮站前南路１７６號",101.3,"住","","",1111212,"土地1建物1車位0","三層","鋼筋混凝土造","0930106",205.32,"4","3","3","有","無",14200000,69160,"","RPRSMLMKJHIGFAG87DA",173.34,18.4,13.58,"無","",2022,12
"羅東鎮","宜蘭縣羅東鎮河濱路４６０巷３號",98.59,"","特定農業區","甲種建築用地",1111220,"土地1建物1車位0","三層","鋼筋混凝土造","0821117",153.16,"5","2","2","有","無",6950000,45377,"三樓前陽台其他增建；","RPXRMLMKJHIGFAG38DA",143.8,0,9.36,"無","0222",2022,12
"三星鄉","宜蘭縣三星鄉集義路６５號",95.39,"住","","",1111219,"土地1建物1車位0","二層","鋼筋混凝土造","0800516",114.87,"3","2","2","有","無",5216600,45413,"","RPROMLQKJHIGFAG87DA",114.87,0,0,"無","",2022,12
"冬山鄉","宜蘭縣冬山鄉水源路１０２巷５１號",107.38,"","特定農業區","甲種建築用地",1111226,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0701231",118.56,"3","2","2","有","無",8300000,70007,"","RPTNMLSKJHIGFAG18DA",118.56,0,0,"無","0227",2022,12
"五結鄉","宜蘭縣五結鄉孝威路３３３巷１號",120.96,"","鄉村區","乙種建築用地",1111220,"土地3建物1車位0","三層","鋼筋混凝土造","1050829",175.09,"3","2","4","有","無",9750000,55686,"頂樓約5坪其他增建；","RPTNMLQLKIHGFAG18DA",165.31,0,9.78,"無","",2022,12
"冬山鄉","宜蘭縣冬山鄉冬山路三段３０１巷８０弄５３號",106.73,"","特定農業區","甲種建築用地",1111228,"土地1建物1車位0","三層","鋼筋混凝土造","1111216",187.81,"4","2","5","有","無",12700000,67622,"","RPSNMLSKJHIGFAG08DA",171.36,0,16.45,"無","",2022,12
"冬山鄉","宜蘭縣冬山鄉華祥路２７９巷４０號",87.59,"","特定農業區","甲種建築用地",1111202,"土地1建物1車位0","三層","鋼筋混凝土造","1000221",189.82,"4","2","4","有","無",8500000,44779,"","RPQNMLKKJHIGFAG07DA",159.3,7.63,22.89,"無","",2022,12
"員山鄉","宜蘭縣員山鄉深蓁路１０８巷３號",173.52,"","特定農業區","甲種建築用地",1111217,"土地2建物1車位0","四層","鋼筋混凝土造","1110110",275.6,"4","3","3","有","有",18980000,68868,"","RPRNMLKMJHIGFBG47DA",243.8,0,31.32,"有","",2022,12
"冬山鄉","宜蘭縣冬山鄉永平路二段５３號",197.83,"","特定農業區","甲種建築用地",1111225,"土地4建物1車位0","三層","鋼筋混凝土造","0951026",192.26,"4","2","3","有","無",13000000,67617,"增建：1和2樓後方外推、3樓露天其他增建；","RPPOMLNKJHIGFAG37DA",171.04,0,21.22,"無","0240",2022,12
"五結鄉","宜蘭縣五結鄉五濱路一段３５號",84.84,"","工業區","丁種建築用地",1111228,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0720627",136.9,"2","2","2","有","無",5600000,40906,"","RPROMLNJJHIGFAG47DA",136.9,0,0,"無","",2022,12
"五結鄉","宜蘭縣五結鄉利成路一段８９號",69.79,"","特定農業區","甲種建築用地",1111221,"土地1建物1車位0","三層","鋼筋混凝土加強磚造","0720216",155.82,"4","3","3","有","無",6680000,42870,"頂樓加蓋；","RPQNMLKMJHIGFAG27DA",155.82,0,0,"無","0241",2022,12
"五結鄉","宜蘭縣五結鄉五結路二段３７８號",135,"住","","",1111218,"土地1建物1車位0","三層","鋼筋混凝土加強磚造","0601009",229.62,"0","0","2","有","無",12500000,54438,"其他增建 ：一樓空地其他增建；","RPQOMLSKJHIGFAG97DA",221,0,8.62,"無","",2022,12
"員山鄉","宜蘭縣員山鄉賢德路二段１５７巷１０弄１５號",100.37,"","特定農業區","甲種建築用地",1111220,"土地2建物1車位0","三層","鋼筋混凝土造","1020104",176.62,"4","2","3","有","無",9850000,55769,"","RPSOMLNKJHIGFBG77DA",166.33,0,10.29,"無","",2022,12
"宜蘭市","宜蘭縣宜蘭市民族路５５０巷３３號",139.97,"住","","",1111215,"土地2建物1車位0","三層","鋼筋混凝土造","0940415",229.56,"5","2","3","有","無",15400000,67085,"一樓空地、一樓增建沿著加蓋至肆樓。陽台外推；頂樓加蓋；其他增建；","RPPPMLLMJHIGFBG57DA",193.08,17.64,18.84,"無","",2022,12
"員山鄉","宜蘭縣員山鄉惠民路２４９巷２６弄９號",71.31,"","鄉村區","乙種建築用地",1111223,"土地3建物1車位0","四層","鋼筋混凝土造","1111005",168.63,"3","2","3","有","有",9100000,53964,"","RPPNMLKMJHIGFBG27DA",162.87,0,5.76,"無","",2022,12
"礁溪鄉","宜蘭縣礁溪鄉瑪僯路４８之２號",123.73,"","特定農業區","甲種建築用地",1111205,"土地3建物1車位0","三層","鋼筋混凝土造","1080314",197.05,"4","2","5","有","無",9000000,45674,"","RPUOMLPKKIHGFBG28DA",186.51,0,10.54,"無","0243",2022,12
"宜蘭市","宜蘭縣宜蘭市黎明三路３２巷５弄２號",156.88,"農","","",1111216,"土地7建物1車位0","三層","鋼筋混凝土造","1050617",203.67,"4","3","4","有","有",16400000,80522,"其他增建：壹樓空地及採光罩、三樓增建夾層。夾層；其他增建；","RPWNMLTLKIHGFBG88DA",188.05,0,15.62,"無","0244",2022,12
"三星鄉","宜蘭縣三星鄉上將路一段３３巷３８弄２１號",70.64,"","特定農業區","甲種建築用地",1111221,"土地5建物1車位0","三層","鋼筋混凝土造","1110805",162.28,"4","2","4","有","無",11000000,67784,"","RPXNMLLJKHIGFAG87DA",146.73,0,15.55,"無","0245",2022,12
"羅東鎮","宜蘭縣羅東鎮南盟路７９巷１弄２８號",86.8,"住","","",1111229,"土地1建物1車位0","四層","鋼筋混凝土造","0880816",222.36,"4","3","3","有","無",9200000,41374,"增建部分:露台其他增建；","RPPOMLKMJHIGFAG27DA",186.04,21.65,0,"無","",2022,12
"宜蘭市","宜蘭縣宜蘭市延平路５６巷６５弄２９號",104.98,"住","","",1111229,"土地2建物1車位0","三層","鋼筋混凝土造","0940928",224.86,"4","2","3","有","無",13500000,60037,"增建：1樓後陽台和浴室、2樓陽台、頂樓屋凸其他增建；","RPQOMLLMJHIGFBG57DA",176.51,22.35,26,"無","",2022,12
"員山鄉","宜蘭縣員山鄉永同路三段１６０巷９弄２號",193.26,"","一般農業區","甲種建築用地",1111230,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0720804",117.92,"0","0","2","有","無",3450000,29257,"","RPPOMLLMJHIGFBG47DA",117.92,0,0,"無","",2022,12
"員山鄉","宜蘭縣員山鄉文化路１００巷４８弄７號",98.18,"住","","",1111206,"土地2建物1車位0","三層","鋼筋混凝土造","1111103",207.6,"4","1","5","有","無",11420000,55010,"","RPQNMLNJKHIGFBG47DA",196.56,0,11.04,"無","",2022,12
"頭城鎮","宜蘭縣頭城鎮祥路１４之２號",84.65,"都市：其他:商業區","","",1111228,"土地2建物1車位0","四層","鋼筋混凝土造","0701230",263.52,"7","3","4","有","無",8900000,33774,"五樓鐵皮屋增建。頂樓加蓋；","RPUNMLNJKHIGFBG97EA",263.52,0,0,"無","",2022,12
"礁溪鄉","宜蘭縣礁溪鄉玉龍路二段３３巷６號",188.5,"","特定農業區","甲種建築用地",1111202,"土地3建物1車位0","三層","鋼筋混凝土造","0860612",196.32,"3","2","3","有","無",9500000,48390,"1.一樓前方、後方、左側增建2.二、三樓陽台外推3.頂樓增建鐵皮陽台外推；其他增建；","RPSNMLTKKIHGFBG38DA",178.11,9.55,8.66,"無","",2022,12
"五結鄉","宜蘭縣五結鄉親河路一段１１６號",115.75,"","一般農業區","甲種建築用地",1111223,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0690813",196.98,"4","2","3","有","無",8550000,43405,"增建：廚房後方其他增建；","RPSOMLNJKHIGFAG67DA",196.98,0,0,"無","",2022,12
"宜蘭市","宜蘭縣宜蘭市泰山路２６２巷２０號",124.3,"住","","",1111231,"土地2建物1車位0","二層","鋼筋混凝土加強磚造","0780420",144.91,"7","3","3","有","無",8750000,60382,"其他增建；","RPWOMLMKJHIGFBG08DA",123.77,11.81,9.33,"無","",2022,12
"宜蘭市","宜蘭縣宜蘭市黎明一路１３０巷５號",125.26,"農","","",1111225,"土地5建物1車位0","三層","鋼筋混凝土造","1080107",187.61,"3","2","4","有","無",12800000,68227,"一樓採光罩。目前有採光罩部分破損、滲漏水及簽約後若發現其他滲漏水瑕疵皆由買方維護處理，賣方已由總價中折讓部分價金予買方作為補償。陽台外推；其他增建；","RPQNMLMJKHIGFBG37DA",172.14,0,15.47,"無","0260",2022,12
"員山鄉","宜蘭縣員山鄉大湖十八路８０巷１７號",50.2,"","特定農業區","甲種建築用地",1111228,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0820805",61.28,"4","2","1","有","無",1500000,24478,"弟賣給兄親友、員工、共有人或其他特殊關係間之交易；","RPWNMLSJKHIGFBG58DA",56.13,0,5.14,"無","",2022,12
"羅東鎮","宜蘭縣羅東鎮新群三路１８０巷３２號",122.05,"","特定農業區","甲種建築用地",1111229,"土地2建物1車位0","四層","鋼筋混凝土造","1050825",259.51,"4","2","5","有","無",18080000,69670,"","RPUNMLTLKIHGFAG58DA",250.44,0,9.07,"無","0267",2022,12
"五結鄉","宜蘭縣五結鄉大吉二路３７１巷５號",90.44,"","一般農業區","甲種建築用地",1111218,"土地2建物1車位0","三層","鋼筋混凝土造","0991206",190.5,"4","2","5","有","無",10800000,56693,"","RPQNMLOJKHIGFAG47DA",167.13,0,23.37,"無","0268",2022,12
