town,address,land_area,urb_zoning,nurb_zoning,nurb_land,date,object_num,story,material,completion_date,building_area,n_bed,n_hall,n_bath,d_comp,d_manager,price,unitprice,note,serialnumber,main_area,aux_area,balcony_area,d_elevator,trans_num,year,month
"宜蘭市","宜蘭縣宜蘭市東港路二段１６０巷３號",105.42,"都市：其他:住宅區","","",1110806,"土地4建物1車位0","三層","鋼筋混凝土造","1030807",218.76,"4","2","4","有","無",14250000,65140,"增建範圍：一樓空地。頂樓加蓋；其他增建；","RPUNMLLJRHHGFBG28DA",205.7,0,13.06,"無","0031",2022,8
"宜蘭市","宜蘭縣宜蘭市嵐峰路一段１７２巷３１號",73,"都市：其他:住宅區","","",1110812,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0660909",95,"5","2","3","有","無",7800000,82105,"其他增建；","RPSOMLLJRHHGFBG18DA",95,0,0,"無","",2022,8
"宜蘭市","宜蘭縣宜蘭市軍民路９巷３６號",63.9,"都市：其他:住宅區","","",1110808,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","",88.37,"3","2","2","有","無",6800000,76949,"一樓廚房增建其他增建；","RPPNMLLMQHHGFBG97DA",88.37,0,0,"無","",2022,8
"礁溪鄉","宜蘭縣礁溪鄉瑪僯路４８之１號",126.28,"","特定農業區","甲種建築用地",1110811,"土地3建物1車位0","三層","鋼筋混凝土造","1080314",224.81,"4","2","5","有","無",11800000,52489,"","RPSOMLPLQHHGFBG68DA",202.87,0,21.94,"有","",2022,8
"員山鄉","宜蘭縣員山鄉深蓁路１０８巷６號",169.28,"","特定農業區","甲種建築用地",1110809,"土地2建物1車位0","四層","鋼筋混凝土造","1110110",274.85,"4","3","3","有","有",18000000,65490,"","RPWNMLMJRHHGFBG58DA",243.11,0,31.26,"有","",2022,8
"五結鄉","宜蘭縣五結鄉成功路２巷８弄６１號",77.34,"","工業區","丁種建築用地",1110811,"土地1建物1車位0","三層","鋼筋混凝土造","1020409",167,"4","2","3","有","無",7600000,45509,"","RPWOMLPKQHHGFAG88DA",144.38,0,22.62,"無","0034",2022,8
"蘇澳鎮","宜蘭縣蘇澳鎮龍祥二路６巷２號",98,"","工業區","丁種建築用地",1110808,"土地1建物1車位0","三層","鋼筋混凝土造","1080104",173.17,"4","2","3","有","無",6600000,38113,"含土地增值稅或其他稅費；含地政士服務費；親友、員工、共有人或其他特殊關係間之交易；","RPQNMLQJRHHGFAG28DA",162.2,0,10.97,"無","0035",2022,8
"三星鄉","宜蘭縣三星鄉中山路三段２８號",190.61,"","特定農業區","甲種建築用地",1110805,"土地2建物1車位0","二層","鐵筋加強磚造","0740126",178.72,"5","2","3","有","無",3000000,16786,"親友、員工、共有人或其他特殊關係間之交易；","RPWNMLPJRHHGFAG78DA",178.72,0,0,"無","",2022,8
"頭城鎮","宜蘭縣頭城鎮龜山路１２６號",75.27,"都市：其他:住宅區","","",1110803,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0670301",101.34,"2","2","2","有","無",5660000,55852,"頂樓加蓋；","RPVNMLQJRHHGFBG88DA",101.34,0,0,"無","0036",2022,8
"員山鄉","宜蘭縣員山鄉賢德路一段８１巷５０號",178.55,"","特定農業區","甲種建築用地",1110802,"土地3建物1車位0","四層","鋼筋混凝土造","1070212",272.02,"3","3","4","有","無",16080000,59113,"","RPQNMLKMQHHGFBG97DA",241.66,0,30.36,"無","",2022,8
"羅東鎮","宜蘭縣羅東鎮光明街１４５號",135,"都市：其他:住宅區","","",1110811,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0751231",138.68,"4","2","3","有","無",12450000,89775,"增建部分為一樓法定空地及三樓全部。頂樓加蓋；其他增建；","RPVNMLPJRHHGFAG68DA",138.68,0,0,"無","",2022,8
"三星鄉","宜蘭縣三星鄉大埔五路８３號",118,"","特定農業區","甲種建築用地",1110810,"土地2建物1車位0","四層","鋼筋混凝土造","0870402",233.12,"6","2","4","有","無",8800000,37749,"其他增建：一樓空地其他增建；","RPQOMLQJRHHGFAG38DA",218.66,3.6,10.86,"無","0041",2022,8
"五結鄉","宜蘭縣五結鄉季水路４１之１號",103.99,"","一般農業區","甲種建築用地",1110826,"土地1建物1車位0","三層","鋼筋混凝土造","0840705",190.3,"4","2","3","有","無",5100000,26800,"","RPUNMLQJRHHGFAG68DA",161.26,9.68,19.36,"無","",2022,8
"羅東鎮","宜蘭縣羅東鎮復興路三段１５７巷６０弄４８號",174.23,"","特定農業區","甲種建築用地",1110704,"土地2建物1車位0","三層","鋼筋混凝土造","0940310",219.2,"4","3","3","有","無",15500000,70712,"","RPVNMLOJPHHGFAG38DA",189.84,22.8,6.56,"無","",2022,7
"蘇澳鎮","宜蘭縣蘇澳鎮坪林路２巷４號",67.04,"都市：其他:商業區","","",1110701,"土地1建物1車位0","二層","鋼筋混凝土造","0681030",100.36,"4","2","2","有","無",2700000,26903,"其他增建 ：一樓空地其他增建；","RPWOMLPKPHHGFAG78DA",100.36,0,0,"無","",2022,7
"五結鄉","宜蘭縣五結鄉五結中路二段４２３巷６弄３５號",90.99,"","特定農業區","甲種建築用地",1110701,"土地1建物1車位0","三層","鋼筋混凝土造","0880211",194.98,"4","2","3","有","無",10000000,51287,"","RPVOMLPKPHHGFAG68DA",161.46,33.52,0,"無","",2022,7
"蘇澳鎮","宜蘭縣蘇澳鎮新城南路８０號",79.1,"都市：其他:工業區","","",1110702,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0630801",114.37,"0","0","2","有","無",3600000,31477,"增建一樓後面，二樓後面其他增建；","RPOOMLPKPHHGFAG97DA",114.37,0,0,"無","",2022,7
"冬山鄉","宜蘭縣冬山鄉鹿埔路４７５巷４號",90.14,"","特定農業區","甲種建築用地",1110705,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0700812",112.88,"4","2","2","有","無",4800000,42523,"","RPSNMLSKPHHGFAG68EA",112.88,0,0,"無","",2022,7
"壯圍鄉","宜蘭縣壯圍鄉古結路１１８之２號",91.01,"都市：其他:農業區","","",1110707,"土地1建物1車位0","三層","鋼筋混凝土造","0880114",180.57,"4","2","3","有","無",6700000,37105,"姑姪買賣親友、員工、共有人或其他特殊關係間之交易；陽台外推；其他增建；","RPPNMLQKPHHGFBG18DA",146.27,19.27,15.03,"無","",2022,7
"羅東鎮","宜蘭縣羅東鎮中山路三段３５巷８號",206,"都市：其他:住宅區","","",1110701,"土地2建物1車位0","二層","鋼筋混凝土加強磚造","0760610",242.76,"4","3","5","有","無",10000000,41193,"親友、員工、共有人或其他特殊關係間之交易；","RPUNMLMKPHHGFAG18DA",223.92,3.28,15.56,"無","",2022,7
"宜蘭市","宜蘭縣宜蘭市健康路三段５８號",88.75,"都市：其他:住宅區","","",1110701,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0651203",141.14,"3","2","2","有","無",12750000,90336,"防火巷增建頂樓加蓋；其他增建；","RPVRMLLLPHHGFBG78DA",141.14,0,0,"無","",2022,7
"羅東鎮","宜蘭縣羅東鎮自強街３０號",67,"都市：其他:住宅區","","",1110701,"土地1建物1車位0","三層","鋼筋混凝土造","0700730",125.16,"3","3","3","有","無",6000000,47939,"一樓廚房增建其他增建；","RPSNMLOKPHHGFAG18DA",125.16,0,0,"無","",2022,7
"三星鄉","宜蘭縣三星鄉大埔中路２６５巷１８弄３０號",82.77,"","鄉村區","乙種建築用地",1110701,"土地1建物1車位0","三層","鋼筋混凝土造","1040721",140.28,"4","2","3","有","無",7550000,53821,"","RPQNMLSKPHHGFAG38DA",123.56,1.46,15.26,"無","",2022,7
"冬山鄉","宜蘭縣冬山鄉幸福二路１９５巷２０號",76.06,"","特定農業區","甲種建築用地",1110702,"土地1建物1車位0","四層","鋼筋混凝土造","0850311",168.25,"4","3","3","有","無",6500000,38633,"一樓後方空地增建其他增建；","RPOOMLMLPHHGFAG77DA",152.05,16.2,0,"無","",2022,7
"五結鄉","宜蘭縣五結鄉成功路２巷１弄３２號",84.06,"","工業區","丁種建築用地",1110702,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0910107",116.35,"3","1","3","有","無",5000000,42974,"","RPQOMLPLPHHGFAG38EA",116.35,0,0,"無","0059",2022,7
"冬山鄉","宜蘭縣冬山鄉丸山路３２５巷２３號",76,"","一般農業區","甲種建築用地",1110702,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0691219",91.54,"3","2","2","有","無",2750000,30042,"","RPPOMLMLPHHGFAG97EA",91.54,0,0,"無","",2022,7
"宜蘭市","宜蘭縣宜蘭市環市東路三段４８７巷９號",522.1,"","特定農業區","農牧用地",1110708,"土地4建物1車位0","二層","鋼筋混凝土造","0990915",157.02,"4","2","3","有","無",12200000,77697,"一樓面對建物左邊空地其他增建；","RPPNMLPLPHHGFBG18DA",130.63,8.25,18.14,"無","",2022,7
"宜蘭市","宜蘭縣宜蘭市力行路９６巷２弄５號",74.94,"都市：其他:住宅區","","",1110712,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","",94.76,"3","2","4","有","無",8680000,91600,"一樓後方空地增建至二樓其他增建；","RPUNMLPLPHHGFBG68DA",94.76,0,0,"無","0064",2022,7
"冬山鄉","宜蘭縣冬山鄉冬山路三段５５０號",736,"都市：其他:商業區","","",1110701,"土地7建物2車位0","一層","鋼筋混凝土加強磚造","0590802",187.06,"0","0","1","有","無",21000000,112263,"","RPRNMLRLPHHGFAG48DA",187.06,0,0,"無","",2022,7
"羅東鎮","宜蘭縣羅東鎮南盟路７９巷１弄２７號",97.21,"都市：其他:住宅區","","",1110707,"土地1建物1車位0","四層","鋼筋混凝土造","0880816",248.05,"4","2","3","有","有",9000000,36283,"","RPUNMLQLPHHGFAG68DA",199.52,22.79,10.46,"無","",2022,7
"三星鄉","宜蘭縣三星鄉五分路一段２３５號",88.97,"","特定農業區","甲種建築用地",1110706,"土地4建物1車位0","四層","鋼筋混凝土造","0900723",194.1,"4","3","4","有","無",7200000,37094,"增建部分:1.陽台外推  2.一樓車庫外推加蓋其他增建；","RPTPMLTKPHHGFAG98DA",173.89,5.7,14.51,"無","0065",2022,7
"冬山鄉","宜蘭縣冬山鄉義成路三段４５０巷１３號",86.71,"都市：其他:保護區","","",1110704,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0620616",123.88,"2","1","2","有","無",7500000,60542,"","RPQNMLRLPHHGFAG48EA",123.88,0,0,"無","",2022,7
"三星鄉","宜蘭縣三星鄉上將路一段５４９號",138.09,"","特定農業區","甲種建築用地",1110705,"土地2建物1車位0","三層","鋼筋混凝土造（ＲＣ）","1051212",258.15,"3","2","3","有","無",12300000,47647,"","RPQOMLRLPHHGFAG58EA",250.97,0,7.18,"有","",2022,7
