town,address,land_area,urb_zoning,nurb_zoning,nurb_land,date,object_num,story,material,completion_date,building_area,n_bed,n_hall,n_bath,d_comp,d_manager,price,unitprice,note,serialnumber,main_area,aux_area,balcony_area,d_elevator,trans_num,year,month,place_id,dist_to四城,dist_to宜蘭,dist_to縣政中心,dist_to羅東,dur_to四城,dur_to宜蘭,dur_to縣政中心,dur_to羅東
五結鄉,親河路二段２９１巷５１弄６０之８號,106.55,,特定農業區,甲種建築用地,1091111,土地2建物1車位0,三層,鋼筋混凝土造,1090610.0,169.3,4,2,5,有,無,8550000.0,50502.0,,RPVNMLKMJIPFFAG48DA,164.62,0.0,4.68,無,,2020,11,EllOby4gNjAsIEFsbGV5IDUxLCBMYW5lIDI5MSwgU2VjdGlvbiAyLCBRaW5oZSBSZCwgV3VqaWUgVG93bnNoaXAsIFlpbGFuIENvdW50eSwgVGFpd2FuIDI2OCIwEi4KFAoSCSvWRzcH5mc0EWWPOIUE3x8aEDwqFAoSCZUuOzwH5mc0EXHY6BRSK4ZH,15601,13332,9166,3690,1245,1227,931,546
蘇澳鎮,龍祥二路６巷１０之５號,66.0,,工業區,丁種建築用地,1091110,土地1建物1車位0,三層,鋼筋混凝土造,1081108.0,150.13,4,2,3,有,無,7200000.0,47958.0,,RPSOMLKMJIPFFAG28DA,136.18,0.0,13.95,無,,2020,11,ChIJbWLSDY7oZzQR_lZ-K2CAmY8,24948,22678,15153,9691,1594,1575,1380,1007
羅東鎮,國華街１４巷１６號,103.0,住,,,1091111,土地1建物1車位0,二層,鋼筋混凝土加強磚造,680918.0,103.62,6,2,3,有,無,7500000.0,72380.0,其他增建:1-2樓後方頂樓加蓋；其他增建；,RPPNMLLJKIPFFAG77DA,103.64,0.0,0.0,無,,2020,11,ChIJ1zRr8obmZzQRH2oyEGyAKXQ,13806,10076,6666,1876,1582,1365,889,524
冬山鄉,永清路４７９號,138.15,農,,,1091117,土地5建物1車位0,三層,鋼筋混凝土加強磚造,700608.0,228.33,0,0,0,無,無,9250000.0,40512.0,,RPUOMLQKJIPFFAG88DA,228.33,0.0,0.0,無,,2020,11,ChIJAyD7CYvmZzQRwEcgaphKef0,14920,11189,7779,3360,1703,1487,1011,575
蘇澳鎮,馬賽路３９７巷６９弄６號,102.1,住,,,1091106,土地4建物1車位0,三層,見其他登記事項,1071106.0,179.83,4,2,5,有,無,7450000.0,41428.0,,RPVNMLRLJIPFFAG09DA,165.51,0.0,14.32,無,,2020,11,ChIJjZK03GDoZzQRBkksTBAemtg,22846,20577,16410,12244,1353,1334,1177,925
宜蘭市,縣政五街１０２巷１號,162.02,住,,,1091113,土地3建物1車位0,三層,鋼筋混凝土造,1050802.0,242.7,2,2,5,有,無,13750000.0,56654.0,,RPXNMLQKJIPFFBG56DA,219.62,0.0,20.91,無,,2020,11,EkVOby4gMSwgTGFuZSAxMDIsIFhpYW56aGVuZ3d1IFN0LCBZaWxhbiBDaXR5LCBZaWxhbiBDb3VudHksIFRhaXdhbiAyNjAiMBIuChQKEgkVBn2VVeRnNBFYKQwgM-PuvRABKhQKEgldjafdVeRnNBHia8RZX-fwJA,8650,3958,1073,6375,955,641,197,918
壯圍鄉,功勞路１之６號,98.0,,特定農業區,甲種建築用地,1091118,土地1建物1車位0,二層,鋼筋混凝土加強磚造,860331.0,137.83,4,2,2,有,無,4700000.0,34100.0,其他增建；,RPPNMLKMJIPFFBG97DA,113.07,17.56,7.2,無,,2020,11,ChIJq8PscLH6ZzQRWd0Z4rUhgQE,5091,4578,7347,13642,549,581,718,1208
壯圍鄉,永美路二段６１巷２８弄３２號,115.38,,特定農業區,甲種建築用地,1091123,土地4建物1車位0,三層,鋼筋混凝土造,1090612.0,172.7,4,2,3,有,無,8580000.0,49682.0,,RPWOMLOLJIPFFBG09DA,165.0,0.0,7.7,無,,2020,11,ChIJuyd1Cbn6ZzQRMvi7cLGEdfU,4041,4993,7762,14318,467,676,813,1260
壯圍鄉,永美路二段６１巷２８弄６０號,131.28,,特定農業區,甲種建築用地,1091120,土地5建物1車位0,三層,鋼筋混凝土造,1090612.0,203.35,4,2,3,有,無,9980000.0,49078.0,,RPTOMLOLJIPFFBG78DA,195.99,0.0,7.36,無,,2020,11,ChIJuyd1Cbn6ZzQRMvi7cLGEdfU,4041,4993,7762,14318,467,676,813,1260
壯圍鄉,大福路三段２３２巷３５弄３號,104.27,,特定農業區,甲種建築用地,1091111,土地3建物1車位0,三層,鋼筋混凝土造,1030327.0,199.09,4,2,4,有,無,11400000.0,57261.0,未登記建物；,RPQNMLLJKIPFFBG08EA,191.96,0.0,7.13,有,,2020,11,EltOby4gMywgQWxsZXkgMzUsIExhbmUgMjMyLCBTZWN0aW9uIDMsIERhZnUgUmQsIFpodWFuZ3dlaSBUb3duc2hpcCwgWWlsYW4gQ291bnR5LCBUYWl3YW4gMjYzIjASLgoUChIJF7pWL8X6ZzQRSaaK8QgJuEkQAyoUChIJ2UVaLsX6ZzQRnlgJA2sOUEY,2314,3928,8203,13758,269,617,686,1154
宜蘭市,泰山路負郭二巷７號,76.08,住,,,1091107,土地1建物1車位0,三層,鋼筋混凝土造,1010710.0,172.22,4,2,3,有,無,13000000.0,75485.0,,RPUNMLLJKIPFFBG38DA,156.94,0.0,15.28,無,,2020,11,ChIJSexXfMDkZzQRsfI_75J-PD4,4664,1771,4887,10519,747,417,821,1552
三星鄉,雙義路４９號,113.82,住,,,1091103,土地1建物1車位0,三層,鋼筋混凝土造,820116.0,165.24,3,2,3,有,無,5800000.0,35100.0,陽台外推；其他增建；,RPPNMLKMJIPFFAG87DA,165.24,0.0,0.0,無,,2020,11,ChIJWy8jaz3gZzQRrAfTE55Su88,13486,9755,6345,5753,1357,1140,665,770
冬山鄉,冬山路一段８０２號,141.33,住,,,1091106,土地1建物1車位0,二層,鋼筋混凝土加強磚造,660714.0,127.2,4,2,3,有,無,6000000.0,47170.0,其他增建：一樓空地頂樓加蓋；其他增建；,RPPNMLSLJIPFFAG58DA,127.2,0.0,0.0,無,,2020,11,ChIJ4TURE83nZzQRvkwzqI2V10Y,19634,17364,12864,6374,1651,1633,1376,750
五結鄉,大吉三路２１０巷７號,72.0,,鄉村區,乙種建築用地,1091114,土地1建物1車位0,二層,鋼筋混凝土加強磚造,690714.0,90.6,3,2,2,有,無,2770000.0,30574.0,防火巷增建其他增建；,RPRNMLNJKIPFFAG18DA,90.6,0.0,0.0,無,,2020,11,ChIJy8oSu_LlZzQR2ueFbaejU9U,12533,10264,6051,5188,1052,1033,636,732
蘇澳鎮,城東路２０３號,106.18,住,,,1091101,土地1建物1車位0,三層,鋼筋混凝土造,1040901.0,184.09,4,3,4,有,無,8200000.0,44543.0,,RPPOMLLJKIPFFAG87DA,168.86,0.0,15.23,無,,2020,11,ChIJWy8jaz3gZzQRrAfTE55Su88,13486,9755,6345,5753,1357,1140,665,770
五結鄉,季水路北巷２之１５號,103.0,,鄉村區,乙種建築用地,1091118,土地2建物1車位0,三層,鋼筋混凝土造,1060822.0,182.71,4,2,4,有,無,6100000.0,33386.0,,RPQOMLLJKIPFFAG08EA,173.26,0.0,9.45,無,,2020,11,ChIJsR8qNUbvZzQROVk6Bnh18gE,16087,14381,11492,6968,1386,1445,1028,863
五結鄉,季水路北巷２之１７號,103.0,,鄉村區,乙種建築用地,1091118,土地2建物1車位0,三層,鋼筋混凝土造,1060822.0,182.71,4,2,4,有,無,6100000.0,33386.0,,RPROMLLJKIPFFAG18EA,173.26,0.0,9.45,無,,2020,11,ChIJsR8qNUbvZzQROVk6Bnh18gE,16087,14381,11492,6968,1386,1445,1028,863
宜蘭市,陽明路２２１號,49.18,都市：其他:生物醫學產業特定專用區(二),,,1091125,土地1建物1車位0,四層,鋼筋混凝土造,1090916.0,220.94,6,2,4,有,無,22750000.0,102969.0,,RPUOMLNJKIPFFBG68DA,200.44,0.0,20.5,有,,2020,11,EjpOby4gMjIxLCBZYW5nbWluZyBSZCwgWWlsYW4gQ2l0eSwgWWlsYW4gQ291bnR5LCBUYWl3YW4gMjYwIjESLwoUChIJZ3ERQt7kZzQRRRfpuHdq4UIQ3QEqFAoSCTM7RO7g5Gc0EXM4YQdTMbkA,6094,1287,4064,9738,793,282,524,1246
