縣市別,行政區,街道名稱及範圍,路寬(m),臨街關係,用途類別,構造種類,建築完成年月,移轉日期,總樓層數,移轉層數,土地使用分區,移轉土地面積(坪),移轉房屋面積(坪),總價(萬元),單價(萬元/坪)
桃園縣,桃園市,中福街-中山北路與三民路之間,8,臨街地,住宅大樓,鋼筋混凝土造,０８１０１,097年07月,17,3,住宅區,6.50,48.09,490,10.19
桃園縣,桃園市,中福街-位於三民路三段與中山北路之間,6,臨街地,透天住宅,鋼筋混凝土造,０６６０９,093年04月,4,3,住宅區,12.78,29.69,280,9.43
桃園縣,桃園市,中興街-中央街與自強路之間,6,臨街地,透天住宅,鋼筋混凝土造,０７５０３,094年04月,2,全,住宅區,26.32,36.59,610,16.67
桃園縣,桃園市,中興街-中央街與春日路間,8,臨街地,透天住宅,鋼筋混凝土造,０７４０１,096年12月,4,全,住宅區,45.07,135.92,1650,12.14
桃園縣,桃園市,中興街-中興街1至50號,7,臨街地,華廈,鋼筋混凝土造,０８４０５,100年04月,10,7,商業區,2.14,17.33,220,12.69
桃園縣,桃園市,中興街-中興街1至50號,7,臨街地,華廈,鋼筋混凝土造,０８４０５,100年12月,10,9,商業區,1.64,13.29,110,8.28
桃園縣,桃園市,中興街-安東街與東門街之間,8,臨街地,華廈,鋼筋混凝土造,０８４０５,099年01月,10,8,商業區,1.91,15.50,114,7.35
桃園縣,桃園市,中興街-自強路與中央街之間,8,臨街地,華廈,鋼筋混凝土造,０８５０２,096年01月,6,3,住宅區,11.34,55.81,700,12.54
桃園縣,桃園市,中興街-春日路與自強路之間,8,臨街地,公寓,鋼筋混凝土造,０８１１０,097年04月,5,3,住宅區,7.74,23.92,230,9.62
桃園縣,桃園市,中興街-春日路與自強路之間,7,臨街地,華廈,鋼筋混凝土造,０８５０２,098年07月,6,4,住宅區,11.34,56.42,520,9.22
桃園縣,桃園市,中興街-朝陽街與春日路間,7,臨街地,華廈,鋼筋混凝土造,０８４０５,100年01月,10,10,商業區,1.91,13.11,130,9.92
桃園縣,桃園市,中興路-春日路與中央路之間,8,臨街地,公寓,鋼筋混凝土造,０６８０３,097年07月,5,4,住宅區,11.13,31.00,435,14.03
桃園縣,桃園市,五福一街-經國路與春日路間,4,臨街地,透天住宅,加強磚造,０６４０５,095年01月,2,全,住宅區,18.45,21.56,300,13.91
桃園縣,桃園市,五福七街-五福七街1至50號,8,臨街地,透天住宅,加強磚造,０６４０５,101年01月,2,全,住宅區,20.27,25.17,415,16.49
桃園縣,桃園市,五福七街-經國路與南崁溪之間,8,臨街地,透天住宅,加強磚造,０６４０５,091年12月,2,全,住宅區,32.95,30.32,590,19.46
桃園縣,桃園市,五福七街-經國路與南崁溪間,8,臨街地,透天住宅,加強磚造,０６４０５,097年12月,2,全,住宅區,20.27,25.17,410,16.29
桃園縣,桃園市,五福七街-經國路與南通路21巷之間,5,臨街地,透天住宅,鋼筋混凝土造,０８８０７,096年07月,5,全,住宅區,20.27,54.30,600,11.05
桃園縣,桃園市,五福九街-經國路與南崁溪間,8,臨街地,透天住宅,加強磚造,０６４０５,097年04月,2,全,住宅區,32.67,30.32,600,19.79
桃園縣,桃園市,五福十一街-五福十一街1至50號,5,臨街地,透天住宅,加強磚造,０６４０５,100年04月,2,全,住宅區,20.27,25.17,415,16.49
桃園縣,桃園市,五福十一街-經國路與南崁溪間,6,臨街地,透天住宅,加強磚造,０６４０５,095年09月,2,全,住宅區,20.27,25.17,340,13.51
桃園縣,桃園市,五福十一街-經國路與春日路之間,6,臨街地,透天住宅,加強磚造,０６４０５,098年07月,2,全,住宅區,20.27,25.17,410,16.29
桃園縣,桃園市,五福五街-經國路與南崁溪間,8,臨街地,透天住宅,加強磚造,０６４０５,097年07月,2,全,住宅區,20.27,25.17,450,17.88
桃園縣,桃園市,仁愛路-文中路與正光街之間,10,臨街地,透天住宅,加強磚造,０６４１１,090年07月,3,全,住宅區,28.12,29.74,580,19.50
桃園縣,桃園市,仁愛路-正光街與桃園監獄間,10,裡地,透天住宅,加強磚造,０６４１１,097年12月,2,全,住宅區,23.19,22.87,430,18.80
桃園縣,桃園市,仁愛路-延壽街與正光街之間,10,裡地,透天住宅,加強磚造,０６４１１,094年01月,3,全,住宅區,18.85,44.72,380,8.50
桃園縣,桃園市,仁愛路-益壽二街與益壽六街之間,10,臨街地,透天住宅,加強磚造,０６３１１,089年07月,2,全,住宅區,27.85,30.23,680,22.49
桃園縣,桃園市,仁愛路-益壽二街與益壽六街之間,10,臨街地,透天住宅,加強磚造,０６４０４,089年10月,3,全,住宅區,24.20,49.00,747,15.24
桃園縣,桃園市,仁愛路-益壽三街與正光街之間,10,裡地,透天住宅,加強磚造,０６４１１,093年07月,2,全,住宅區,17.72,21.80,350,16.06
桃園縣,桃園市,介新街-介壽路與建新街間,15,臨街地,華廈,鋼筋混凝土造,０８２１１,097年04月,7,1,住宅區,8.79,38.63,450,11.65
桃園縣,桃園市,介壽路-三民路3段與南豐三街間,20,臨街地,住宅大樓,鋼筋混凝土造,０８３０２,100年01月,12,3,住宅區,12.08,99.18,900,9.07
桃園縣,桃園市,介壽路-大林路與縱貫鐵路之間,20,臨街地,住宅大樓,鋼筋混凝土造,０９２０７,097年12月,14,12,住宅區,2.61,19.76,190,9.62
桃園縣,桃園市,介壽路-大林路與縱貫鐵路之間,20,臨街地,住宅大樓,鋼筋混凝土造,０９２０７,098年07月,14,12,住宅區,4.19,39.67,400,10.08
桃園縣,桃園市,介壽路-大林路與鐵路間,8,臨街地,住宅大樓,鋼筋混凝土造,０９２０７,095年09月,14,10,住宅區,2.61,18.66,230,12.33
桃園縣,桃園市,介壽路-大林路與鐵路間,8,臨街地,住宅大樓,鋼筋混凝土造,０９２０７,095年09月,14,4,住宅區,2.37,17.26,200,11.59
桃園縣,桃園市,介壽路-介新街與內環道間,20,裡地,公寓,鋼筋混凝土造,０６８１０,097年01月,4,2,住宅區,9.54,21.74,220,10.12
桃園縣,桃園市,介壽路-介新街與福林街之間,20,裡地,公寓,鋼筋混凝土造,０７００４,098年10月,4,3,住宅區,12.21,28.32,250,8.83
