縣市別,行政區,街道名稱及範圍,路寬(m),臨街關係,用途類別,構造種類,建築完成年月,移轉日期,總樓層數,移轉層數,土地使用分區,移轉土地面積(坪),移轉房屋面積(坪),總價(萬元),單價(萬元/坪)
宜蘭縣,五結鄉,成鳳路-利澤國小附近,3,裡地,透天住宅,加強磚造,０７００８,097年01月,2,全,甲種建築用地,20.77,35.20,180,5.11
宜蘭縣,五結鄉,成鳳路-利澤國小附近,3,裡地,透天住宅,鋼筋混凝土加強磚造,０７０１２,098年07月,2,全,甲種建築用地,24.09,41.33,190,4.60
宜蘭縣,五結鄉,成鳳路-利澤國小附近,3,裡地,透天住宅,鋼筋混凝土加強磚造,０７１０５,099年01月,2,全,甲種建築用地,24.35,41.56,200,4.81
宜蘭縣,五結鄉,成興路-成興路旁,4,裡地,透天住宅,鋼筋混凝土造,０８６０５,097年07月,3,全,乙種建築用地,28.82,46.08,250,5.43
宜蘭縣,五結鄉,自強路23巷-五結圖書館附近,5,裡地,透天住宅,鋼筋混凝土造,０９７０５,099年04月,4,全,住宅區,33.27,81.32,695,8.55
宜蘭縣,五結鄉,自強路-五結市場附近,8,裡地,透天住宅,鋼筋混凝土造,０７００６,096年12月,3,全,住宅區,28.43,58.65,435,7.42
宜蘭縣,五結鄉,自強路-五結市場附近,9,裡地,透天住宅,鋼筋混凝土造,０９７０５,097年07月,4,全,住宅區,33.27,81.32,735,9.04
宜蘭縣,五結鄉,自強路-五結市場附近,10,裡地,透天住宅,鋼筋混凝土造,０９７０５,097年12月,4,全,住宅區,33.27,81.32,720,8.85
宜蘭縣,五結鄉,自強路-五結市場附近,10,裡地,透天住宅,鋼筋混凝土造,０９７１０,099年01月,3,全,住宅區,29.69,70.35,720,10.23
宜蘭縣,五結鄉,自強路-五結郵局附近,10,裡地,透天住宅,鋼筋混凝土造,０９４１２,095年01月,3,全,住宅區,32.97,65.57,550,8.39
宜蘭縣,五結鄉,自強路-五結郵局附近,10,臨街地,透天住宅,鋼筋混凝土造,０９４１２,096年04月,3,全,住宅區,22.08,52.08,570,10.94
宜蘭縣,五結鄉,自強路-五結郵局附近,10,臨街地,透天住宅,鋼筋混凝土造,０９４１２,096年07月,3,全,住宅區,20.57,48.95,480,9.81
宜蘭縣,五結鄉,自強路-五結郵局附近,9,臨街地,透天住宅,鋼筋混凝土造,０９６０９,097年04月,3,全,住宅區,28.74,55.66,580,10.42
宜蘭縣,五結鄉,自強路-五結郵局附近,9,裡地,透天住宅,鋼骨混凝土造,０９７１０,098年04月,3,全,住宅區,25.18,61.28,580,9.46
宜蘭縣,五結鄉,自強路-五結郵局附近,9,裡地,透天住宅,鋼筋混凝土造,０９７１０,098年07月,3,全,住宅區,36.14,64.67,650,10.05
宜蘭縣,五結鄉,自強路-五結鄉公所附近,10,臨街地,透天住宅,鋼筋混凝土造,０７７０４,092年01月,2,全,住宅區,50.82,36.43,475,13.04
宜蘭縣,五結鄉,自強路-五結鄉公所附近,10,臨街地,透天住宅,鋼筋混凝土造,０９４０４,094年12月,3,全,住宅區,29.34,62.25,570,9.16
宜蘭縣,五結鄉,自強路-五結鄉公所附近,10,裡地,透天住宅,鋼筋混凝土造,０９４１０,095年04月,3,全,住宅區,29.95,57.60,600,10.42
宜蘭縣,五結鄉,西河北路-二結鎮安廟附近,6,臨街地,透天住宅,鋼筋混凝土造,０８７０４,092年04月,4,全,住宅區,33.31,57.15,470,8.22
宜蘭縣,五結鄉,西河北路-二結鎮安廟附近,10,裡地,透天住宅,鋼筋混凝土造,０８５０８,092年07月,3,全,住宅區,39.90,72.83,430,5.90
宜蘭縣,五結鄉,西河北路-西河北路29巷1號至50號間,6,裡地,透天住宅,鋼筋混凝土造,０８７１１,101年04月,3,全,甲種建築用地,35.92,56.68,470,8.29
宜蘭縣,五結鄉,西河北路-西河北路奇芳別墅1號至50號間,14,臨街地,透天住宅,鋼筋混凝土造,０８００２,101年04月,3,全,住宅區,34.13,46.98,600,12.77
